Timestamp,Air,Air Pess,Snow Depth,Precip
2004-02-19 14:00:00,7.48,900.0,6999.0,0.0
2004-02-19 15:00:00,8.57,987.0,6999.0,8.01
2004-02-19 16:00:00,7.64,986.0,6999.0,5.495
2004-02-19 17:00:00,6.671,985.0,6999.0,2.939
2004-02-19 18:00:00,5.834,984.0,6999.0,5.169
2004-02-19 19:00:00,5.617,984.0,6999.0,2.474
2004-02-19 20:00:00,4.816,984.0,6999.0,3.681
2004-02-19 21:00:00,4.415,984.0,6999.0,1.36
2004-02-19 22:00:00,4.8,986.0,6999.0,0.674
2004-02-19 23:00:00,4.485,986.0,6999.0,0.266
2004-02-20 00:00:00,3.193,986.0,6999.0,0.245
2004-02-20 01:00:00,2.599,987.0,6999.0,0.49
2004-02-20 02:00:00,2.651,987.0,6999.0,0.141
2004-02-20 03:00:00,3.611,987.0,6999.0,0.078
2004-02-20 04:00:00,3.589,988.0,6999.0,0.0
2004-02-20 05:00:00,4.294,988.0,6999.0,0.063
2004-02-20 06:00:00,2.266,988.0,6999.0,0.034
2004-02-20 07:00:00,2.583,989.0,6999.0,0.345
2004-02-20 08:00:00,2.992,989.0,6999.0,0.289
2004-02-20 09:00:00,3.404,990.0,6999.0,0.144
2004-02-20 10:00:00,5.123,990.0,6999.0,0.228
2004-02-20 11:00:00,7.17,991.0,6999.0,0.824
2004-02-20 12:00:00,3.594,991.0,6999.0,0.0
2004-02-20 13:00:00,4.383,992.0,6999.0,0.924
2004-02-20 14:00:00,4.245,992.0,6999.0,0.266
2004-02-20 15:00:00,6.009,992.0,6999.0,0.632
2004-02-20 16:00:00,5.482,992.0,6999.0,0.371
2004-02-20 17:00:00,5.151,992.0,6999.0,0.782
2004-02-20 18:00:00,5.007,992.0,6999.0,1.31
2004-02-20 19:00:00,4.305,992.0,6999.0,0.507
2004-02-20 20:00:00,3.848,992.0,6999.0,0.141
2004-02-20 21:00:00,4.906,992.0,6999.0,0.0
2004-02-20 22:00:00,4.259,992.0,6999.0,0.98
2004-02-20 23:00:00,4.89,992.0,6999.0,0.446
2004-02-21 00:00:00,4.247,992.0,6999.0,0.078
2004-02-21 01:00:00,4.964,991.0,6999.0,0.548
2004-02-21 02:00:00,4.354,991.0,6999.0,1.394
2004-02-21 03:00:00,4.28,989.0,6999.0,2.992
2004-02-21 04:00:00,4.833,988.0,6999.0,2.475
2004-02-21 05:00:00,4.171,986.0,6999.0,3.79
2004-02-21 06:00:00,3.488,984.0,6999.0,4.73
2004-02-21 07:00:00,4.017,981.0,6999.0,5.106
2004-02-21 08:00:00,6.322,978.0,6999.0,8.44
2004-02-21 09:00:00,11.08,976.0,6999.0,13.08
2004-02-21 10:00:00,11.27,975.0,6999.0,10.17
2004-02-21 11:00:00,10.46,977.0,6999.0,8.42
2004-02-21 12:00:00,8.75,978.0,6999.0,1.983
2004-02-21 13:00:00,9.49,977.0,6999.0,4.059
2004-02-21 14:00:00,8.83,976.0,6999.0,4.607
2004-02-21 15:00:00,8.86,977.0,6999.0,7.59
2004-02-21 16:00:00,8.57,977.0,6999.0,3.773
2004-02-21 17:00:00,8.41,978.0,6999.0,5.496
2004-02-21 18:00:00,8.3,979.0,6999.0,5.386
2004-02-21 19:00:00,8.42,981.0,6999.0,0.0
2004-02-21 20:00:00,7.66,982.0,6999.0,2.196
2004-02-21 21:00:00,7.38,983.0,6999.0,1.086
2004-02-21 22:00:00,6.502,986.0,6999.0,0.157
2004-02-21 23:00:00,6.358,987.0,6999.0,0.141
2004-02-22 00:00:00,7.53,988.0,6999.0,0.0
2004-02-22 01:00:00,6.727,989.0,6999.0,0.423
2004-02-22 02:00:00,7.24,991.0,6999.0,0.0
2004-02-22 03:00:00,7.38,991.0,6999.0,0.235
2004-02-22 04:00:00,7.21,992.0,6999.0,0.078
2004-02-22 05:00:00,7.06,993.0,6999.0,0.063
2004-02-22 06:00:00,6.465,993.0,6999.0,0.0
2004-02-22 07:00:00,6.63,994.0,6999.0,0.329
2004-02-22 08:00:00,6.271,995.0,6999.0,0.423
2004-02-22 09:00:00,6.818,995.0,6999.0,0.0
2004-02-22 10:00:00,6.204,996.0,6999.0,1.159
2004-02-22 11:00:00,6.262,997.0,6999.0,1.394
2004-02-22 12:00:00,6.44,998.0,6999.0,0.016
2004-02-22 13:00:00,6.139,999.0,6999.0,2.161
2004-02-22 14:00:00,6.604,1000.0,6999.0,0.219
2004-02-22 15:00:00,5.79,1001.0,6999.0,2.067
2004-02-22 16:00:00,6.493,1001.0,6999.0,1.049
2004-02-22 17:00:00,6.975,1002.0,6999.0,0.219
2004-02-22 18:00:00,7.68,1003.0,6999.0,0.119
2004-02-22 19:00:00,7.06,1003.0,6999.0,0.0
2004-02-22 20:00:00,6.706,1004.0,6999.0,0.64
2004-02-22 21:00:00,6.101,1005.0,6999.0,0.047
2004-02-22 22:00:00,7.07,1006.0,6999.0,0.078
2004-02-22 23:00:00,6.435,1007.0,6999.0,0.035
2004-02-23 00:00:00,7.72,1007.0,6999.0,0.0
2004-02-23 01:00:00,7.61,1008.0,6999.0,0.376
2004-02-23 02:00:00,7.78,1008.0,6999.0,0.0
2004-02-23 03:00:00,7.57,1008.0,6999.0,0.204
2004-02-23 04:00:00,7.34,1008.0,6999.0,0.0
2004-02-23 05:00:00,8.04,1008.0,6999.0,0.125
2004-02-23 06:00:00,7.34,1008.0,6999.0,0.0
2004-02-23 07:00:00,7.04,1008.0,6999.0,0.251
2004-02-23 08:00:00,7.02,1008.0,6999.0,0.298
2004-02-23 09:00:00,8.16,1008.0,6999.0,0.125
2004-02-23 10:00:00,8.33,1008.0,6999.0,0.125
2004-02-23 11:00:00,9.25,1008.0,6999.0,0.188
2004-02-23 12:00:00,10.33,1008.0,6999.0,0.078
2004-02-23 13:00:00,9.48,1007.0,6999.0,0.827
2004-02-23 14:00:00,10.0,1005.0,6999.0,0.563
2004-02-23 15:00:00,9.25,1005.0,6999.0,1.227
2004-02-23 16:00:00,9.7,1004.0,6999.0,0.492
2004-02-23 17:00:00,9.23,1003.0,6999.0,0.72
2004-02-23 18:00:00,8.97,1003.0,6999.0,3.225
2004-02-23 19:00:00,9.6,1002.0,6999.0,5.839
2004-02-23 20:00:00,8.47,1001.0,6999.0,3.929
2004-02-23 21:00:00,9.32,1000.0,6999.0,2.779
2004-02-23 22:00:00,8.73,999.0,6999.0,4.878
2004-02-23 23:00:00,9.19,999.0,6999.0,7.68
2004-02-24 00:00:00,8.63,998.0,6999.0,6.232
2004-02-24 01:00:00,8.38,999.0,6999.0,6.247
2004-02-24 02:00:00,7.93,1000.0,6999.0,1.284
2004-02-24 03:00:00,6.905,1000.0,6999.0,1.895
2004-02-24 04:00:00,6.646,1000.0,6999.0,1.91
2004-02-24 05:00:00,6.478,1001.0,6999.0,2.985
2004-02-24 06:00:00,4.862,1002.0,6999.0,0.0
2004-02-24 07:00:00,3.963,1002.0,6999.0,1.519
2004-02-24 08:00:00,4.068,1004.0,6999.0,2.707
2004-02-24 09:00:00,3.202,1005.0,6999.0,1.941
2004-02-24 10:00:00,3.791,1006.0,6999.0,2.021
2004-02-24 11:00:00,1.83,1006.0,6999.0,3.211
2004-02-24 12:00:00,4.922,1007.0,6999.0,1.441
2004-02-24 13:00:00,5.555,1008.0,6999.0,0.58
2004-02-24 14:00:00,6.139,1008.0,6999.0,0.0
2004-02-24 15:00:00,5.7,1009.0,6999.0,0.288
2004-02-24 16:00:00,5.276,1010.0,6999.0,1.608
2004-02-24 17:00:00,8.17,1010.0,6999.0,0.0
2004-02-24 18:00:00,6.676,1010.0,6999.0,0.912
2004-02-24 19:00:00,6.798,1011.0,6999.0,0.0
2004-02-24 20:00:00,6.328,1011.0,6999.0,0.078
2004-02-24 21:00:00,5.248,1012.0,6999.0,0.0
2004-02-24 22:00:00,5.597,1012.0,6999.0,0.0
2004-02-24 23:00:00,4.876,1013.0,6999.0,0.019
2004-02-25 00:00:00,4.968,1013.0,6999.0,0.0
2004-02-25 01:00:00,5.544,1013.0,6999.0,0.013
2004-02-25 02:00:00,3.988,1014.0,6999.0,0.0
2004-02-25 03:00:00,3.618,1015.0,6999.0,0.0
2004-02-25 04:00:00,4.522,1015.0,6999.0,0.211
2004-02-25 05:00:00,6.229,1015.0,6999.0,0.0
2004-02-25 06:00:00,4.156,1015.0,6999.0,0.0
2004-02-25 07:00:00,4.555,1015.0,6999.0,0.0
2004-02-25 08:00:00,5.599,1015.0,6999.0,0.172
2004-02-25 09:00:00,6.674,1016.0,6999.0,0.188
2004-02-25 10:00:00,9.31,1016.0,6999.0,0.063
2004-02-25 11:00:00,9.31,1016.0,6999.0,0.0
2004-02-25 12:00:00,11.24,1016.0,6999.0,0.562
2004-02-25 13:00:00,11.69,1016.0,6999.0,0.16
2004-02-25 14:00:00,13.0,1015.0,6999.0,0.53
2004-02-25 15:00:00,14.13,1015.0,6999.0,0.108
2004-02-25 16:00:00,14.32,1015.0,6999.0,0.338
2004-02-25 17:00:00,14.25,1015.0,6999.0,0.0
2004-02-25 18:00:00,13.25,1016.0,6999.0,0.269
2004-02-25 19:00:00,10.5,1016.0,6999.0,0.304
2004-02-25 20:00:00,10.83,1017.0,6999.0,0.0
2004-02-25 21:00:00,7.91,1017.0,6999.0,0.0
2004-02-25 22:00:00,6.555,1018.0,6999.0,0.0
2004-02-25 23:00:00,5.624,1019.0,6999.0,0.0
2004-02-26 00:00:00,5.004,1020.0,6999.0,0.0
2004-02-26 01:00:00,4.334,1020.0,6999.0,0.0
2004-02-26 02:00:00,3.903,1020.0,6999.0,0.0
2004-02-26 03:00:00,3.602,1020.0,6999.0,0.0
2004-02-26 04:00:00,3.209,1020.0,6999.0,0.0
2004-02-26 05:00:00,2.828,1020.0,6999.0,0.0
2004-02-26 06:00:00,2.889,1020.0,6999.0,0.0
2004-02-26 07:00:00,2.638,1020.0,6999.0,0.0
2004-02-26 08:00:00,2.726,1021.0,6999.0,0.0
2004-02-26 09:00:00,3.339,1021.0,6999.0,0.248
2004-02-26 10:00:00,10.34,1021.0,6999.0,0.486
2004-02-26 11:00:00,12.18,1021.0,6999.0,0.157
2004-02-26 12:00:00,13.73,1021.0,6999.0,0.568
2004-02-26 13:00:00,14.24,1021.0,6999.0,0.343
2004-02-26 14:00:00,14.52,1021.0,6999.0,0.43
2004-02-26 15:00:00,15.79,1021.0,6999.0,0.258
2004-02-26 16:00:00,15.24,1021.0,6999.0,0.036
2004-02-26 17:00:00,14.82,1021.0,6999.0,0.208
2004-02-26 18:00:00,14.17,1021.0,6999.0,0.0
2004-02-26 19:00:00,10.98,1022.0,6999.0,0.493
2004-02-26 20:00:00,10.02,1022.0,6999.0,0.0
2004-02-26 21:00:00,8.66,1022.0,6999.0,0.0
2004-02-26 22:00:00,8.4,1023.0,6999.0,0.0
2004-02-26 23:00:00,7.13,1023.0,6999.0,0.0
2004-02-27 00:00:00,6.575,1022.0,6999.0,0.0
2004-02-27 01:00:00,7.26,1022.0,6999.0,0.0
2004-02-27 02:00:00,6.879,1021.0,6999.0,0.0
2004-02-27 03:00:00,7.2,1021.0,6999.0,0.0
2004-02-27 04:00:00,6.382,1021.0,6999.0,0.0
2004-02-27 05:00:00,6.383,1021.0,6999.0,0.0
2004-02-27 06:00:00,5.685,1021.0,6999.0,0.0
2004-02-27 07:00:00,5.17,1021.0,6999.0,0.0
2004-02-27 08:00:00,5.392,1020.0,6999.0,0.0
2004-02-27 09:00:00,6.978,1020.0,6999.0,0.023
2004-02-27 10:00:00,10.92,1020.0,6999.0,0.266
2004-02-27 11:00:00,13.16,1019.0,6999.0,0.114
2004-02-27 12:00:00,13.92,1019.0,6999.0,0.178
2004-02-27 13:00:00,15.09,1018.0,6999.0,0.849
2004-02-27 14:00:00,14.14,1018.0,6999.0,0.211
2004-02-27 15:00:00,14.1,1018.0,6999.0,0.514
